en_dialogue,Timeline,kannada_dialogue
"Are there any corpses up there? -Brother, look at this. Come on.","00:27:01,455 --> 00:27:04,124","ಅಲ್ಲಿ ಯಾವುದೇ ಶವಗಳು ಇದೆಯೇ? -ಆದ್ದರಿಂದ, ಇದನ್ನು ನೋಡಿ. ಬನ್ನಿ."
Fuck it.,"00:27:49,002 --> 00:27:50,512",ಅದನ್ನು ಫಕ್ ಮಾಡಿ.
Curry? Kiri.,"00:28:00,514 --> 00:28:03,517",ಕರಿ? ಕಿರಿ.
Kiri... Kiri.,"00:28:06,520 --> 00:28:08,480",ಕಿರಿ ... ಕಿರಿ.
Kiri.,"00:28:10,190 --> 00:28:11,775",ಕಿರಿ.
"Are you OK? - I did that again, didn't I?","00:28:15,487 --> 00:28:19,491","ನೀವು ಸರಿಯಾಗಿದ್ದೀರಾ? - ನಾನು ಅದನ್ನು ಮತ್ತೆ ಮಾಡಿದ್ದೇನೆ, ಅಲ್ಲವೇ?"
Yes you are.,"00:28:19,526 --> 00:28:21,493",ಹೌದು ನೀವು.
Kiri! - Kiri!,"00:28:22,494 --> 00:28:24,461",ಕಿರಿ! - ಕಿರಿ!
"Kiri, we have to go back. -Okay, come on.","00:28:24,496 --> 00:28:26,498","ಕಿರಿ, ನಾವು ಹಿಂತಿರುಗಬೇಕಾಗಿದೆ. -ಒಕೆ, ಬನ್ನಿ."
What is that?,"00:28:32,379 --> 00:28:34,339",ಅದು ಏನು?
We should always be at home before the eclipse.,"00:28:34,381 --> 00:28:37,384",ನಾವು ಯಾವಾಗಲೂ ಇರಬೇಕು ಎಕ್ಲಿಪ್ಸ್ ಮೊದಲು ಮನೆಯಲ್ಲಿ.
